cause_of_death,category_human,train_test
other encephalitis myelitis and encephalomyelitis,none,test
other epidermolysis bullosa,none,train
other epilepsy,none,train
other female genital prolapse,none,train
other female genital tract fistulae,none,train
other female intestinal-genital tract fistulae,none,train
other female urinary-genital tract fistulae,none,train
other fibroblastic disorders,none,train
other forms of actinomycosis,none,train
other forms of acute ischaemic heart disease,ischaemic heart disease,test
other forms of acute pericarditis,none,test
other forms of angina pectoris,ischaemic heart disease,train
other forms of aspergillosis,none,train
other forms of chromomycosis,none,train
other forms of chronic ischaemic heart disease,ischaemic heart disease,test
other forms of herpesviral infection,none,train
other forms of leptospirosis,none,test
other forms of nocardiosis,none,train
other forms of scoliosis,none,test
other forms of stomatitis,none,train
other forms of systemic lupus erythematosus,none,train
other forms of systemic sclerosis,none,train
other fusion of spine,none,test
other gangliosidosis,none,train
other gastritis,none,train
other generalized epilepsy and epileptic syndromes,none,train
other giant cell arteritis,none,train
other gonococcal infections,none,test
other granulomatous disorders of skin and subcutaneous tissue,none,test
other haemoglobinopathies,none,train
other hair colour and hair shaft abnormalities,none,train
other hereditary and idiopathic neuropathies,none,test
other hereditary ataxias,none,test
other histiocytosis syndromes,none,test
other hydrocele,none,train
other hydrocephalus,none,test
other hyperaldosteronism,none,train
other hyperparathyroidism,none,test
other hyperphenylalaninaemias,none,train
other hypertrophic cardiomyopathy,none,train
other hypoglycaemia,none,test
other hypoparathyroidism,none,train
other hypotension,none,train
other idiopathic scoliosis,none,train
other ill-defined heart diseases,none,train
other immediate postpartum haemorrhage,none,test
other immunodeficiencies with predominantly antibody defects,none,train
other impaction of intestine,none,train
other infection of genital tract following delivery,none,train
other infective bursitis,none,train
other infective spondylopathies,none,train
other infective tenosynovitis,none,test
other inflammatory diseases of prostate,none,train
other inflammatory disorders of penis,none,train
other inflammatory polyneuropathies,none,train
other inherited spinal muscular atrophy,none,train
other instability of joint,none,train
other interstitial pulmonary diseases with fibrosis,pulmonary disease,test
other intestinal escherichia coli infections,none,test
other intestinal malabsorption,none,test
other intracerebral haemorrhage,cerebrovascular disease,train
other intracranial nontraumatic haemorrhages of fetus and newborn,none,train
other iron deficiency anaemias,none,test
other juvenile arthritis,none,test
other lack of expected normal physiological development,none,train
other leukaemia of unspecified cell type,none,train
other lipid storage disorders,none,test
other local lupus erythematosus,none,train
other lymphoid leukaemia,none,train
other malformations of cerebral vessels,none,train
other manifestations of thiamine deficiency,none,train
other mastoiditis and related conditions,none,train
other maternal infectious and parasitic diseases complicating pregnancy childbirth and the puerperium,none,train
other mature t/nk-cell lymphomas,none,test
other medical procedures,none,train
other megaloblastic anaemias not elsewhere classified,none,test
other melanin hyperpigmentation,none,train
other meningococcal infections,none,test
other mitral valve diseases,none,test
other mucopolysaccharidoses,none,train
other multiple gestation,none,train
other multiple valve diseases,none,train
other mycobacterial infections,none,test
other myelodysplastic syndromes,none,train
other myeloid leukaemia,none,train
other myositis,none,test
other neonatal gastrointestinal haemorrhage,none,train
other neonatal peritonitis,none,train
other neuromuscular dysfunction of bladder,none,test
other non-follicular lymphoma,none,test
other nonautoimmune haemolytic anaemias,none,train
other noninflammatory disorders of ovary fallopian tube and broad ligament,none,train
other nonpowered-aircraft accidents injuring occupant,none,train
other nonrheumatic mitral valve disorders,none,train
other nonrheumatic tricuspid valve disorders,none,test
other nonspecific lymphadenitis,none,train
other obesity,none,test
other obstetric embolism,none,train
other obstructive and reflux uropathy,none,train
other orthopoxvirus infections,none,test
other osteochondrodysplasia with defects of growth of tubular bones and spine,none,train
other osteomyelitis,none,train
other osteonecrosis,none,train
other osteoporosis,none,test
other osteoporosis with pathological fracture,none,train
other overlap syndromes,none,train
other paralytic strabismus,none,train
other pemphigoid,none,train
other pemphigus,none,train
other peritonitis,none,train
other pervasive developmental disorders,none,test
other phakomatoses not elsewhere classified,none,train
other placental disorders,none,test
other pneumonia organism unspecified,pulmonary disease,test
other pneumothorax,none,train
other porphyria,none,train
other postprocedural disorders of nervous system,none,train
other postprocedural respiratory disorders,pulmonary disease,train
other preterm infants,none,train
other primary disorders of muscles,none,train
other primary thrombocytopenia,none,train
other psoriasis,none,train
other pulmonary aspergillosis,none,test
other pulmonary valve disorders,none,train
other reconstructive surgery,none,train
other recurrent atlantoaxial subluxation,none,train
other reduction deformities of brain,none,train
other respiratory tuberculosis without mention of bacteriological or histological confirmation,none,train
other restrictive cardiomyopathy,none,train
other retinal artery occlusions,none,train
other rupture of muscle nontraumatic,none,test
other schistosomiases,none,train
other secondary arthrosis,none,train
other secondary kyphosis,none,train
other secondary parkinsonism,none,test
other secondary pulmonary hypertension,none,train
other secondary scoliosis,none,test
other secondary syphilis,none,test
other seropositive rheumatoid arthritis,none,test
other severe and complicated plasmodium falciparum malaria,none,test
other shock,none,test
other sickle-cell disorders,none,train
other sideroblastic anaemias,none,train
other sleep disorders,none,train
other somatoform disorders,none,test
other specific arthropathies not elsewhere classified,none,train
other specified abdominal hernia with gangrene,none,test
other specified abdominal hernia with obstruction without gangrene,none,test
